,0,1,2,3,4,5
283,Karyn Kusama,,Morten Tyldum,,,
284,Ariel Vromen,,Chad Stahelski,,,
285,Chris Miller,,Andrei Tarkovsky,,,
286,Brad Furman,,David Mackenzie,,,
287,Jon M. Chu,,Tomas Alfredson,,,
288,Judd Apatow,,James Watkins,,,
289,Paco Cabezas,,Aleksander Bach,,,
290,Ry Russo-Young,,Nicolas Winding Refn,,,
291,Marti Noxon,,Wolfgang Becker,,,
292,Miguel Arteta,,Alejandro Agresti,,,
293,Don Scardino,,Niels Arden Oplev,,,
294,Spike Jonze,,Angelina Jolie,,,
295,David S. Goyer,,David Michôd,,,
296,Angela Robinson,,Ken Loach,,,
297,Bennett Miller,,Lexi Alexander,,,
298,Ruben Fleischer,,Sam Taylor-Johnson,,,
299,Steve Martino,,Dexter Fletcher,,,
300,Peter Sollett,,Michael Spierig,,,
301,Mike Thurmeier,,Michael Sucsy,,,
302,Andrzej Bartkowiak,,James Marsh,,,
303,James Wong,,Alejandro Amenábar,,,
304,Jared Hess,,Justin Kurzel,,,
305,Tom Brady,,Patty Jenkins,,,
306,Nicole Holofcener,,Taika Waititi,,,
307,Davis Guggenheim,,Carl Rinsch,,,
308,Tom Gormican,,Travis Knight,,,
309,Leigh Whannell,,Oliver Hirschbiegel,,,
310,Joseph Gordon-Levitt,,David Lowery,,,
311,Ryan Coogler,,Rowan Joffe,,,
312,Paul Hoen,,Garth Davis,,,
313,Hoyt Yeatman,,David Slade,,,
314,Chris Sanders,,J.C. Chandor,,,
315,Steven Quale,,Ole Bornedal,,,
316,Morgan Spurlock,,Josh Trank,,,
317,William Eubank,,Rupert Wyatt,,,
318,Thor Freudenthal,,Babak Najafi,,,
319,Ryan Fleck,,Chris Carter,,,
320,Chris Buck,,Christopher McQuarrie,,,
321,Henry Joost,,Christian Alvart,,,
322,Danny Leiner,,Gareth Edwards,,,
323,Shane Acker,,Florian Henckel von Donnersmarck,,,
324,Tom McGrath,,Adam Brooks,,,
325,Scott Stewart,,Sean Ellis,,,
326,Benny Boom,,Debra Granik,,,
327,Jason Moore,,Anton Corbijn,,,
328,Stephen Chbosky,,Ingmar Bergman,,,
329,Jim Field Smith,,Vincenzo Natali,,,
330,Seth Rogen,,Scott Frank,,,
331,Rob Burnett,,Stefen Fangmeier,,,
332,Malcolm D. Lee,,Ol Parker,,,
333,Craig Brewer,,Daniel Espinosa,,,
334,Phil Traill,,Miguel Sapochnik,,,
335,Peter Billingsley,,Juan Carlos Fresnadillo,,,
336,Aaron Blaise,,Robert Eggers,,,
337,Sam Fell,,Cedric Nicolas-Troyan,,,
338,Grant Heslov,,Lynne Ramsay,,,
339,Drake Doremus,,John Carney,,,
340,Adam Wingard,,Tomm Moore,,,
341,Sean Anders,,John Michael McDonagh,,,
342,Dean DeBlois,,Ciaran Foy,,,
343,Rob Letterman,,André Øvredal,,,
344,Steve Beck,,Sebastián Cordero,,,
345,Christopher B. Landon,,Xavier Gens,,,
346,S. Craig Zahler,,Kim Jee-woon,,,
347,Jordan Vogt-Roberts,,Akiva Goldsman,,,
348,Andrew Douglas,,Allen Hughes,,,
349,John Francis Daley,,Don Mancini,,,
350,Mark Rosman,,Dennis Gansel,,,
351,Jason Friedberg,,Gonzalo López-Gallego,,,
352,Roger Kumble,,José Padilha,,,
353,Eric Bress,,Stuart Hazeldine,,,
354,Kouji Morimoto,,Chris Gorak,,,
355,Stephen Hillenburg,,Elliott Lester,,,
356,Dax Shepard,,Alexander Witt,,,
357,Owen Hurley,,Noam Murro,,,
358,David McNally,,Philipp Stölzl,,,
359,Carlos Saldanha,,F. Javier Gutiérrez,,,
360,Stewart Hendler,,David Wnendt,,,
361,Elizabeth Banks,,Yorgos Lanthimos,,,
362,Steve Pink,,Karan Johar,,,
363,Cody Cameron,,Adam Elliot,,,
364,Nima Nourizadeh,,George Nolfi,,,
365,Marcus Dunstan,,J Blakeson,,,
366,Gregory Jacobs,,Samuel Bayer,,,
367,Michael Dougherty,,Timo Vuorensola,,,
368,Stella Meghie,,Til Schweiger,,,
369,Justin Lin,,David Leitch,,,
370,Dan Bradley,,Erik Van Looy,,,
371,Fede Alvarez,,Levan Gabriadze,,,
372,Eric Brevig,,Marjane Satrapi,,,
373,Dave Green,,Gary Shore,,,
374,Juan José Campanella,,Thea Sharrock,,,
375,Michael Patrick King,,Anna Foerster,,,
376,Eduardo Sánchez,,Stephen St. Leger,,,
377,Eli Roth,,Oriol Paulo,,,
378,William Brent Bell,,Fernando González Molina,,,
379,Joel Edgerton,,Bryan Bertino,,,
380,Jon Lucas,,Yann Demange,,,
381,Max Nichols,,Steven Knight,,,
382,Tim Miller,,Andy Muschietti,,,
383,Rupert Goold,,Aditya Chopra,,,
384,Jeremy Garelick,,Rajkumar Hirani,,,
385,Jorge Blanco,,Brian Percival,,,
386,Anthony Stacchi,,Camille Delamarre,,,
387,Chris McKay,,David F. Sandberg,,,
388,Jordan Peele,,Joe Cornish,,,
389,Stiles White,,Alex Garland,,,
390,Nacho Vigalondo,,Dan Kwan,,,
391,Colin Minihan,,Jennifer Kent,,,
392,Jeremy Saulnier,,Bora Dağtekin,,,
393,Scott Speer,,Barry Jenkins,,,
394,Jim Rash,,,,,
395,Etan Cohen,,,,,
396,Dan Trachtenberg,,,,,
397,Craig Zobel,,,,,
398,Christian Ditter,,,,,
399,Michael Tiddes,,,,,
400,Ari Sandel,,,,,
401,Lynn Shelton,,,,,
402,Fergal Reilly,,,,,
403,Damien Chazelle,,,,,
404,David Gelb,,,,,
405,Oren Peli,,,,,
406,Dean Israelite,,,,,
407,Max Joseph,,,,,
408,James Ward Byrkit,,,,,
409,Daniel Myrick,,,,,
410,Eli Craig,,,,,
411,Trish Sie,,,,,
412,David Robert Mitchell,,,,,
413,Damián Szifrón,,,,,
414,Shane Carruth,,,,,
415,David Sandberg,,,,,
<<<<<<< HEAD
416,John Kahrs,,,,,
=======
416,John Kahrs,,,,,
>>>>>>> gh-pages
